Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
PCA-World Championship,London,1993.??.??,1,"Kasparov, Gary","Short, Nigel D",1-0,2805,2655,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 b5b4 d2d3 d7d6 a4a5 c8e6 b1d2 a8b8 b3c4 d8c8 d2f1 f8e8 f1e3 c6d4 f3d4 e5d4 e3d5 f6d5 e4d5 e6d7 c1d2 e7f6 e1e8 d7e8 d1e2 e8b5 a1e1 b5c4 d3c4 h7h6 b2b3 c7c5 d2f4 c8d7 h2h3 b8d8 e2e4 h6h5 e1e2 g7g6 e4f3 f6g7 e2e4 g7f8 f3e2 d7c7 f4g5 d8c8 g2g4 h5g4 g5f6 g4h3 e2g4 c8a8 g4h3 f8g7 f6g7 g8g7 e4h4 a8g8 h4h7 g7f8 h3g4 f8e8
PCA-World Championship,London,1993.??.??,2,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B67,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 b8c6 d1d2 e7e6 e1c1 c8d7 f2f4 h7h6 g5h4 g7g5 f4g5 f6g4 d4f3 h6g5 h4g3 f8e7 f1e2 g4e5 c1b1 b7b5 d1f1 a8c8 f3e5 c6e5 f1f2 f7f6 h1f1 d7c6 a2a3 c6b7 h2h3 e5c4 e2c4 c8c4 d2d3 e6e5 f2e2 d8c8 f1f5 c4c3 b2c3 c8e6 b1b2 e8d7 f5f1 e6c4 d3c4 b5c4 b2a2 b7c6 f1b1 e7d8 b1b8 h8e8 g3f2 d8a5 b8e8 d7e8 a2b2 e8f7 f2a7 f7e6 g2g4 a5d8 b2c1 d8e7 e2e3 d6d5 e4d5 e6d5 c1b2 d5e6 a7b6 e7d6 h3h4 g5h4 e3h3 e5e4 h3h4 d6f4 h4h3 f4g5 b6d4 a6a5 h3h2 a5a4 h2h1 c6d7 h1h2 e6d5 h2h5
PCA-World Championship,London,1993.??.??,3,"Kasparov, Gary","Short, Nigel D",1-0,2805,2655,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 f8e8 b1d2 e7f8 c2c3 h7h6 b3a2 d7d6 f3h4 d8d7 h4g6 c6e7 g6f8 g8f8 f2f3 a8d8 b2b4 e7g6 d2b3 b7c8 a2b1 f6h5 a4b5 a6b5 c1e3 g6h4 a1a2 e8e6 d3d4 e6g6 g1h1 d8e8 d4e5 e8e5 g2g4 g6f6 e3d4 h5g3 h2g3 h4f3 d4e5 d7g4 a2h2 f3e1 d1e1 d6e5 b3d2 f6d6 b1c2 c8e6 h1g1 f8g8 d2f1 g4g5 e1e3 g5d8 h2d2 c7c6 d2d6 d8d6 e3c5 d6c5 b4c5 h6h5 f1d2 g8f8 g1f2 f8e7 c2b3 e6d7 d2f3 e7f6 c3c4 b5c4 b3c4 d7e6 c4e2 e6g4 e2d1 g7g6 d1a4 g4d7 f3e1 f6e6 a4b3 e6e7 e1d3 f7f6 d3b4 f6f5 b3a4 f5e4 a4c6 d7c6 b4c6 e7e6 f2e3 g6g5 e3e4 h5h4 g3h4
PCA-World Championship,London,1993.??.??,4,"Short, Nigel D","Kasparov, Gary",0-1,2655,2805,B97,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 d4b3 b2a3 g5f6 g7f6 f1e2 b8c6 e1g1 c8d7 g1h1 h7h5 c3d1 a8c8 d1e3 a3b4 c2c3 b4e4 e2d3 e4a4 e3c4 c8c7 c4b6 a4a3 a1e1 c6e7 b6c4 c7c4 d3c4 h5h4 c4d3 f6f5 d3e2 f8g7 c3c4 h4h3 g2g3 d6d5 e2f3 d5c4 e1e3 c4c3 e3c3 g7c3 d2c3 e8g8 f1g1 f8c8 c3f6 d7c6 f3c6 c8c6 g3g4 e7g6 g4f5 e6f5 f6f5 a3a2 f5h3 a2c2 f4f5 c6c3 h3g4 c3b3 f5g6 c2c6
PCA-World Championship,London,1993.??.??,5,"Kasparov, Gary","Short, Nigel D",1/2-1/2,2805,2655,E35,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 e6d5 c1g5 h7h6 g5h4 c7c5 d4c5 g7g5 h4g3 f6e4 e2e3 d8a5 g3e5 e8g8 f1d3 b8c6 d3e4 c6e5 e4d5 c8g4 g1f3 g4f3 d5f3 e5f3 g2f3 a8c8 e1g1
PCA-World Championship,London,1993.??.??,6,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B86,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8d7 f2f4 d7c5 f4f5 f8e7 d1f3 e8g8 c1e3 e6e5 d4e2 b7b5 b3d5 a8b8 b2b4 c5d7 e1g1 f6d5 c3d5 c8b7 e2c3 d7f6 a1d1 f6d5 c3d5 b7d5 d1d5 b8c8 f3g4 f7f6 f1f3 c8c2 f3h3 f8f7 g4h5 h7h6 h5g6 g8f8 e3h6 g7h6 h3h6 d8b6 d5c5 e7d8 h6h8 f8e7 h8h7 f7h7 g6h7 e7f8
PCA-World Championship,London,1993.??.??,7,"Kasparov, Gary","Short, Nigel D",1-0,2805,2655,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 b1d2 f6d7 c2c3 d7c5 a4b5 a6b5 a1a8 b7a8 b3c2 e7f6 b2b4 c5e6 d2f1 a8b7 f1e3 g7g6 c2b3 f6g7 h2h4 b7c8 h4h5 g8h8 e3d5 g6g5 d5e3 e6f4 g2g3 f4h5 e3f5 c8f5 e4f5 d8d7 c1g5 h7h6 f3h4 h5f6 g5f6 g7f6 d1h5 h8h7 h4g2 c6e7 g2e3 e7g8 d3d4 e5d4 c3d4 f6d4 e3g4 h7g7 g4h6 d4f6 b3f7
PCA-World Championship,London,1993.??.??,8,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B86,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8d7 f2f4 d7c5 e4e5 d6e5 f4e5 f6d7 c1f4 b7b5 d1g4 h7h5 g4g3 h5h4 g3g4 g7g5 e1c1 d8e7 d4c6 c5b3 a2b3 e7c5 c3e4 c5c6 f4g5 c8b7 d1d6 f8d6 e4d6 e8f8 h1f1 d7e5 g4e6 c6d5 f1f7 e5f7 g5e7 f8g7 e6f6 g7h7 d6f7 d5h5 f7g5 h7g8 f6e6 g8g7 e6f6 g7g8 f6e6 g8g7 e7f6 g7h6 g5f7 h6h7 f7g5 h7h6 f6h8 h5g6 g5f7 h6h7 e6e7 g6g2 h8e5 g2f1 c1d2 f1f2 d2d3 f2f3 d3d2 f3f2
PCA-World Championship,London,1993.??.??,9,"Kasparov, Gary","Short, Nigel D",1-0,2805,2655,E35,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 e6d5 c1g5 h7h6 g5h4 c7c5 d4c5 g7g5 h4g3 f6e4 e2e3 d8a5 g1e2 c8f5 g3e5 e8g8 e2d4 f5g6 d4b3 e4c3 e5c3 g6c2 b3a5 b4c3 b2c3 b7b6 e1d2 b6a5 d2c2 f8c8 h2h4 b8d7 h4g5 d7c5 g5h6 c5e4 c3c4 e4f2 h1h4 f7f5 h4d4 d5c4 f1c4 g8h7 a1f1 f2g4 c2d2 a8b8 f1f5 b8b2 d2d3 b2g2 c4e6 c8c7 f5a5 g4f2 d3e2 g2h2 e2f3 f2h1 d4d7 c7d7 e6d7 h7h6 a5a7 h6g5 a7a5 g5f6 d7c6 h2c2 a5f5 f6e7 c6d5 e7d6 f5h5 c2d2 h5h1 d2d5 a2a4 d5a5 h1a1 d6e5 e3e4 e5e6 f3e3 e6d6 e3d4 d6d7 d4c4 d7c6 c4b4 a5e5 a1c1 c6b6 c1c4
PCA-World Championship,London,1993.??.??,10,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B86,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8d7 f2f4 d7c5 d1f3 b7b5 f4f5 c8d7 f5e6 f7e6 c1g5 f8e7 e1c1 e8g8 e4e5 f6e4 g5e7 d8e7 c3e4 f8f3 e5d6 c5b3 d4b3 e7f8 g2f3 f8f3 e4c5 d7c6 h1e1 e6e5 d6d7 a8d8 d1d6 a6a5 a2a3 a5a4 b3d2 f3g2 c2c3 c6d5 c5d3 d5b3 d3e5 g2h2 e5c6 h2d6 e1e8 g8f7 c6d8 f7g6 d8e6 d6h2 e6f4 g6h6 f4d3 h2g1 e8e1 g1g5 d3e5 g7g6 e1f1 b3e6 e5f7 e6f7 f1f7 g5d5 f7e7 d5d6 e7f7 d6d3 d2e4 d3e3 e4d2 e3d3
PCA-World Championship,London,1993.??.??,11,"Kasparov, Gary","Short, Nigel D",1/2-1/2,2805,2655,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4c6 d8f6 d1d2 d7c6 b1c3 c8e6 c3a4 a8d8 f1d3 c5d4 e1g1 g8e7 c2c3 b7b5 c3d4 f6d4 d2c2 d4a4 c2a4 b5a4 d3c2 e6c4 f1e1 c4b5 c1e3 e7c8 e3c5 c8b6 a1d1 d8d1 e1d1 a7a6 f2f4 b6d7 c5a3 h7h5 g1f2 h8h6 e4e5 c6c5 c2f5 h6b6 d1d2 g7g6 f5c2 b6e6 f2g3 d7b6 a3c5 b6c4 d2d5 c4b2 f4f5 b5c6 d5d2 g6f5 g3f4 b2c4 d2e2 f7f6 c2f5 e6e5 f5d3 c6d5 c5d4 e5e2 d3e2 e8e7 e2h5 d5g2 h5d1 a4a3 h2h4 g2d5 h4h5 c4e5 h5h6 d5a2 d4c5 e7f7 d1c2 a2c4 h6h7 f7g7 c5f8 g7h8 f8e7 c4d3 e7f6 h8h7 f6e5 d3c2
PCA-World Championship,London,1993.??.??,12,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B88,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8c6 f2f4 f8e7 c1e3 e8g8 d1f3 c6d4 e3d4 b7b5 d4f6 e7f6 e4e5 f6h4 g2g3 a8b8 g3h4 c8b7 c3e4 d6e5 h1g1 g7g6 a1d1 b7e4 f3e4 d8h4 e1e2 h4h2 g1g2 h2f4 e4f4 e5f4 e2f3 f8d8 d1d8 b8d8 f3f4 g8f8 f4e3 f8e7 c2c4 h7h5 a2a4 b5a4 b3a4 h5h4 c4c5 d8h8 g2c2 h4h3 a4c6 e6e5 e3f2 h3h2 c2c1 a6a5 c6d5 h8d8 d5g2 d8d2 f2g3 e7d7 c1a1 f7f5 g3h2 d2b2 a1a5 e5e4
PCA-World Championship,London,1993.??.??,13,"Kasparov, Gary","Short, Nigel D",1/2-1/2,2805,2655,D19,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 d1e2 f5g6 e3e4 e8g8 c4d3 d8a5 e4e5 f6d5 d3g6 f7g6 c3e4 c6c5 e4d6 a5a6 e2a6 b7a6 f3g5 c5d4 g5e6 f8b8 f1d1 d7e5 d1d4 b8b6 d4d5 b6d6 d5d6 b4d6 c1f4 a8e8 e6d4 d6c5 d4b3 c5b4 f4e3 e5d3 a1b1 e8c8 e3a7 c8c2 a7d4 g8f7 h2h3 b4e7 b1d1 d3b2 b3a1 b2d1 a1c2 e7f6 d4f6
PCA-World Championship,London,1993.??.??,14,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B88,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b8c6 c1e3 f8e7 f2f4 e8g8 e1g1 c6d4 e3d4 b7b5 e4e5 d6e5 f4e5 f6d7 c3e4 c8b7 e4d6 e7d6 e5d6 d8g5 d1e2 e6e5 d4c3 g5g6 a1d1 g8h8 b3d5 b7d5 d1d5 g6e6 f1d1 f8c8 c3a5 c8c6 b2b3 a8c8 a5c7 c8e8 c2c4 b5c4 b3c4 f7f5 h2h3 h7h6 e2c2 e5e4 c2a4 c6c5 d5c5 d7c5 a4c6 c5d7 c6d5 e6g6 d5d2 e8e5 d2e3 g6e6 d1c1 e5c5 c1c2 h8g8 a2a4 g8f7 e3f2 e4e3
PCA-World Championship,London,1993.??.??,15,"Kasparov, Gary","Short, Nigel D",1-0,2805,2655,D35,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 f1d3 b8d7 g1e2 f8e8 e1g1 d7f8 b2b4 a7a6 a2a3 c7c6 d1c2 g7g6 f2f3 f8e6 g5h4 f6h5 h4e7 e8e7 c2d2 b7b6 a1d1 c8b7 d3b1 h5g7 e3e4 a8c8 b1a2 e7d7 e2f4 e6f4 d2f4 g7e6 f4e5 d7e7 e5g3 d8c7 g3h4 e6g7 d1c1 c7d8 f1d1 c8c7 c3a4 d5e4 f3e4 d8e8 a4c3 c7d7 h4f2 g7e6 e4e5 c6c5 b4c5 b6c5 d4d5 e6d4 c3e4 e8d8 e4f6 g8g7 f6d7 e7d7 c1c5 d4e6 c5c1
PCA-World Championship,London,1993.??.??,16,"Short, Nigel D","Kasparov, Gary",1-0,2655,2805,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 f8e7 d1f3 d8c7 f3g3 b8c6 d4c6 c7c6 f1e1 c8b7 a2a3 a8d8 f2f3 e8g8 c1h6 f6e8 g1h1 g8h8 h6g5 e7g5 g3g5 e8f6 a1d1 d8d7 d1d3 f8d8 e1d1 c6c5 g5e3 h8g8 h1g1 g8f8 e3f2 b7a8 c3e2 g7g6 e2d4 c5e5 d1e1 g6g5 c2c3 f8g7 b3c2 d8g8 d4b3 g7f8 d3d4 f8e7 a3a4 h7h5 a4b5 a6b5 d4b4 h5h4 b3d4 g5g4 b4b5 d6d5 f2h4 e5h5 d4f5
PCA-World Championship,London,1993.??.??,17,"Kasparov, Gary","Short, Nigel D",1/2-1/2,2805,2655,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4c6 d8f6 d1d2 d7c6 b1c3 c8e6 c3a4 a8d8 f1d3 c5d4 e1g1 a7a6 a4c3 g8e7 c3e2 d4b6 d2f4 e7g6 f4f6 g7f6 e2g3 h7h5 d3e2 h5h4 g3f5 e6f5 e4f5 g6e5 f1e1 e8f8 c1f4 d8d4 g2g3 f8g7 a1d1 d4e4 g1g2 h4g3 h2g3 b6f2 g2f2 h8h2 f2f1 e4e2 e1e2 h2h1 f1f2 h1d1 b2b3 d1d7 e2d2 d7d2 f4d2 c6c5 f2e3 c7c6 e3e4 c5c4 b3b4 b7b5 d2f4 e5d7 e4d4 g7f8 f4c7 f8e7 g3g4 e7f8 c7d6 f8g7 d6c7 g7f8 a2a3
PCA-World Championship,London,1993.??.??,18,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 f8e7 d1f3 d8c7 f3g3 e8g8 c1h6 f6e8 a1d1 c8d7 d4f3 a6a5 a2a4 b5b4 c3e2 b8c6 e2f4 e7f6 f4d3 e6e5 h6e3 f6e7 f3d2 e8f6 f2f3 f8e8 g1h1 d7e6 f1e1 a8c8 g3f2 d6d5 e3b6 c7b8 b6c5 e7c5 d3c5 c6d4 c5e6 f7e6 e4d5 d4b3 d2b3 e6d5 b3a5 b8a8 a5b3 a8a4 d1a1 a4c6 e1e2 d5d4
PCA-World Championship,London,1993.??.??,19,"Kasparov, Gary","Short, Nigel D",1/2-1/2,2805,2655,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 e5d4 d1d4 g8f6 e1g1 f8e7 e4e5 c6c5 d4d3 d6e5 d3d8 e7d8 f3e5 d8e7 f1e1 e8g8 c1g5 c8e6 b1d2 f8e8 h2h3 h7h6 g5h4 a8d8 d2f3 g7g5 h4g3 e6d5 a1d1 g8g7 c2c4 d5b7 d1d8 e8d8 e5c6 b7c6 e1e7 d8d1 g1h2 f6e4 e7c7
PCA-World Championship,London,1993.??.??,20,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2655,2805,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 c4b3 b7b5 e1g1 f8e7 d1f3 d8c7 f3g3 e8g8 c1h6 f6e8 a1d1 c8d7 a2a3 b8c6 d4c6 d7c6 h6f4 c7b7 f1e1 a6a5 e4e5 d6e5 f4e5 e7f6 d1d4 a8d8 d4d8 f6d8 c3e2 a5a4 b3a2 b5b4 a3b4 b7b4 e5c3 b4b7 e2d4 e8f6 d4c6 b7c6 e1d1 d8e7 h2h3 f8a8 d1d4 f6e8 g3d3 e7f6 d4c4 c6a6 c3f6 e8f6 d3d2 h7h6 c4d4 a6b6 c2c3 a4a3 b2a3
